created_epoch,created_at,updated_at,value,completed_at,feed_id,expiration,position,id,lat,lon,ele
1699563298,2023-11-09T20:54:58Z,,10,,2630806,2023-12-09T20:54:58Z,,0FEMDAN9EBH723N32GDTR0PEQ7,,,
1699562393,2023-11-09T20:39:53Z,,17,,2630806,2023-12-09T20:39:53Z,,0FEMD219BJG97M272A375NR61S,,,
1699561492,2023-11-09T20:24:52Z,,23,,2630806,2023-12-09T20:24:52Z,,0FEMCSEAV41G2PMWHT4186A1YZ,,,
1699560590,2023-11-09T20:09:50Z,,0,,2630806,2023-12-09T20:09:50Z,,0FEMCGTY78H5QP1683YFAFMD6S,,,
1699559687,2023-11-09T19:54:47Z,,0,,2630806,2023-12-09T19:54:48Z,,0FEMC87J3ET7657SAZS3PF8ZBY,,,
1699558783,2023-11-09T19:39:43Z,,0,,2630806,2023-12-09T19:39:43Z,,0FEMBZKDZMZJ0CW25QCPP19J7J,,,
1699557882,2023-11-09T19:24:42Z,,82,,2630806,2023-12-09T19:24:42Z,,0FEMBQ0KCR9BR320ZHVS0P5Y6T,,,
1699556977,2023-11-09T19:09:37Z,,85,,2630806,2023-12-09T19:09:37Z,,0FEMBECB4TWCQ4569YHTBEZ0F6,,,
1699556075,2023-11-09T18:54:35Z,,83,,2630806,2023-12-09T18:54:35Z,,0FEMB5S2PD2RETQ626KDQBNPA9,,,
1699555174,2023-11-09T18:39:34Z,,70,,2630806,2023-12-09T18:39:34Z,,0FEMAX64R0B4TT3E848Z18P2TH,,,
1699554270,2023-11-09T18:24:30Z,,63,,2630806,2023-12-09T18:24:30Z,,0FEMAMJ8K0M8ZKZB79TPEKS4SK,,,
1699553367,2023-11-09T18:09:27Z,,72,,2630806,2023-12-09T18:09:27Z,,0FEMABYMXCG2XKVT5786PD1CK8,,,
1699552464,2023-11-09T17:54:24Z,,120,,2630806,2023-12-09T17:54:24Z,,0FEMA3AZGTPMS8BN9VHS22HMTD,,,
1699551563,2023-11-09T17:39:23Z,,216,,2630806,2023-12-09T17:39:23Z,,0FEM9TR4NMB9X9WFN36JVM219Z,,,
1699550661,2023-11-09T17:24:21Z,,261,,2630806,2023-12-09T17:24:21Z,,0FEM9J4XTP98DFB57FA6KN71BF,,,
1699549756,2023-11-09T17:09:16Z,,744,,2630806,2023-12-09T17:09:16Z,,0FEM99GNFHQA4HGXD93YWJVKD2,,,
1699548852,2023-11-09T16:54:12Z,,744,,2630806,2023-12-09T16:54:12Z,,0FEM90WW0YQQ3NTVV1XJ7MKF32,,,
1699547951,2023-11-09T16:39:11Z,,735,,2630806,2023-12-09T16:39:11Z,,0FEM8R9S8SVQNBAMT47T8P6T52,,,
1699547048,2023-11-09T16:24:08Z,,773,,2630806,2023-12-09T16:24:08Z,,0FEM8FPCYW49Z5HCGZQWP4ATN4,,,
1699546143,2023-11-09T16:09:03Z,,709,,2630806,2023-12-09T16:09:03Z,,0FEM8724TRYVJ11X9RX2CXXHDA,,,
1699545242,2023-11-09T15:54:02Z,,548,,2630806,2023-12-09T15:54:02Z,,0FEM7YF6QRB0Z555DQ37NZTGGN,,,
1699544342,2023-11-09T15:39:02Z,,388,,2630806,2023-12-09T15:39:02Z,,0FEM7NWAXXV44W1HXCESFPSBYW,,,
1699543436,2023-11-09T15:23:56Z,,488,,2630806,2023-12-09T15:23:56Z,,0FEM7D83J73AW22ZT2X0E62Q6V,,,
1699542532,2023-11-09T15:08:52Z,,397,,2630806,2023-12-09T15:08:52Z,,0FEM74M6SE0YF484408EAR2HHQ,,,
1699541631,2023-11-09T14:53:51Z,,382,,2630806,2023-12-09T14:53:51Z,,0FEM6W15NJV2E00DJW484J5P5V,,,
1699540729,2023-11-09T14:38:49Z,,300,,2630806,2023-12-09T14:38:49Z,,0FEM6KDX89FR0C57K372R3SX0Z,,,
1699539827,2023-11-09T14:23:47Z,,297,,2630806,2023-12-09T14:23:47Z,,0FEM6ATK9AJ4SK3GX6JGX1GV0X,,,
1699538922,2023-11-09T14:08:42Z,,348,,2630806,2023-12-09T14:08:42Z,,0FEM626G87MANNJSMRDHCY4P5T,,,
1699538021,2023-11-09T13:53:41Z,,426,,2630806,2023-12-09T13:53:41Z,,0FEM5SKK8MNA5476M0CX82D0GB,,,
1699537120,2023-11-09T13:38:40Z,,527,,2630806,2023-12-09T13:38:40Z,,0FEM5H0CYYJA9C1RT9HVRDV1KS,,,
1699536219,2023-11-09T13:23:39Z,,641,,2630806,2023-12-09T13:23:39Z,,0FEM58DJ5SG9WZKHHDG71G71H0,,,
1699535318,2023-11-09T13:08:38Z,,784,,2630806,2023-12-09T13:08:38Z,,0FEM4ZTGWNZ3F62J9HKJKE9HTB,,,
1699534416,2023-11-09T12:53:36Z,,176,,2630806,2023-12-09T12:53:36Z,,0FEM4Q7ARH64N4269GBHQ4HRFJ,,,
1699533512,2023-11-09T12:38:32Z,,163,,2630806,2023-12-09T12:38:32Z,,0FEM4EKASM50TN8C00G4DH616P,,,
1699532606,2023-11-09T12:23:26Z,,145,,2630806,2023-12-09T12:23:26Z,,0FEM45Z0NPKCD790QQMZGAKTVC,,,
1699531705,2023-11-09T12:08:25Z,,132,,2630806,2023-12-09T12:08:25Z,,0FEM3XC1FK1T2XPWMDV5F84DWQ,,,
1699530801,2023-11-09T11:53:21Z,,120,,2630806,2023-12-09T11:53:21Z,,0FEM3MR5E26JVNS2173528JPHA,,,
1699529900,2023-11-09T11:38:20Z,,118,,2630806,2023-12-09T11:38:20Z,,0FEM3C52CCGY79V5KD2Y7V0SD2,,,
1699528997,2023-11-09T11:23:17Z,,53,,2630806,2023-12-09T11:23:17Z,,0FEM33HNAM5Z86XP8M7PR1R4GF,,,
1699528093,2023-11-09T11:08:13Z,,49,,2630806,2023-12-09T11:08:13Z,,0FEM2TXQ793ZZYFRZ8Z94YRY08,,,
1699527192,2023-11-09T10:53:12Z,,45,,2630806,2023-12-09T10:53:12Z,,0FEM2JAT7NNWWV5HVKRK3A0C6V,,,
1699526287,2023-11-09T10:38:07Z,,43,,2630806,2023-12-09T10:38:07Z,,0FEM29PNMDJJRV64GQW6HVQ8DS,,,
1699525386,2023-11-09T10:23:06Z,,54,,2630806,2023-12-09T10:23:06Z,,0FEM213EWHPHM21BH93D34XKDN,,,
1699524481,2023-11-09T10:08:01Z,,53,,2630806,2023-12-09T10:08:01Z,,0FEM1RF922WCW2GYGEG8AQT7KV,,,
1699523576,2023-11-09T09:52:56Z,,48,,2630806,2023-12-09T09:52:56Z,,0FEM1FV7PYAQ3P0NT4HP4SKGND,,,
1699522675,2023-11-09T09:37:55Z,,43,,2630806,2023-12-09T09:37:55Z,,0FEM178CPJGJF0HTDEYX8CJZNT,,,
1699521770,2023-11-09T09:22:50Z,,33,,2630806,2023-12-09T09:22:50Z,,0FEM0YM4KA04SWMH6HB84H7V9P,,,
1699520867,2023-11-09T09:07:47Z,,29,,2630806,2023-12-09T09:07:47Z,,0FEM0P0FGSD7EBMJA0BDS96B4P,,,
1699519963,2023-11-09T08:52:43Z,,18,,2630806,2023-12-09T08:52:43Z,,0FEM0DCHD3YJ0951MVTX7BPC1D,,,
